Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
160.00	16.133	242.37	0.0041260	21.537	24.467	87.500	37.907	63.549	310.92	3.1203	26.514	0.038952	supercritical
160.00	16.167	242.95	0.0041161	21.531	24.460	87.470	37.913	63.599	310.99	3.1162	26.535	0.038989	supercritical
160.00	16.200	243.52	0.0041064	21.526	24.453	87.441	37.919	63.650	311.05	3.1120	26.556	0.039026	supercritical
160.00	16.233	244.10	0.0040966	21.520	24.447	87.412	37.925	63.700	311.12	3.1078	26.577	0.039063	supercritical
160.00	16.267	244.68	0.0040870	21.514	24.440	87.383	37.932	63.750	311.19	3.1036	26.598	0.039100	supercritical
160.00	16.300	245.26	0.0040773	21.509	24.434	87.354	37.938	63.800	311.26	3.0994	26.619	0.039137	supercritical
160.00	16.333	245.84	0.0040677	21.503	24.427	87.325	37.944	63.850	311.33	3.0953	26.640	0.039174	supercritical
160.00	16.367	246.42	0.0040582	21.497	24.421	87.296	37.950	63.901	311.40	3.0911	26.661	0.039211	supercritical
160.00	16.400	247.00	0.0040487	21.492	24.414	87.267	37.956	63.951	311.47	3.0869	26.682	0.039248	supercritical
160.00	16.433	247.57	0.0040392	21.486	24.407	87.238	37.962	64.001	311.54	3.0827	26.704	0.039285	supercritical
160.00	16.467	248.15	0.0040298	21.480	24.401	87.209	37.969	64.051	311.61	3.0785	26.725	0.039323	supercritical
160.00	16.500	248.73	0.0040204	21.475	24.394	87.180	37.975	64.101	311.68	3.0743	26.746	0.039360	supercritical
160.00	16.533	249.31	0.0040110	21.469	24.388	87.152	37.981	64.150	311.75	3.0701	26.768	0.039398	supercritical
160.00	16.567	249.89	0.0040017	21.463	24.381	87.123	37.987	64.200	311.82	3.0659	26.789	0.039435	supercritical
160.00	16.600	250.47	0.0039925	21.458	24.375	87.094	37.993	64.250	311.90	3.0617	26.811	0.039472	supercritical
160.00	16.633	251.05	0.0039833	21.452	24.368	87.066	37.999	64.300	311.97	3.0575	26.832	0.039510	supercritical
160.00	16.667	251.63	0.0039741	21.446	24.361	87.037	38.005	64.349	312.04	3.0533	26.854	0.039548	supercritical
160.00	16.700	252.21	0.0039650	21.441	24.355	87.008	38.011	64.399	312.12	3.0490	26.876	0.039585	supercritical
160.00	16.733	252.79	0.0039559	21.435	24.348	86.980	38.017	64.449	312.19	3.0448	26.897	0.039623	supercritical
160.00	16.767	253.37	0.0039468	21.429	24.342	86.951	38.023	64.498	312.27	3.0406	26.919	0.039661	supercritical
160.00	16.800	253.95	0.0039378	21.424	24.335	86.923	38.029	64.547	312.34	3.0364	26.941	0.039698	supercritical
160.00	16.833	254.53	0.0039288	21.418	24.329	86.895	38.035	64.597	312.42	3.0321	26.963	0.039736	supercritical
